,이름,포지션,출전,클린시트,실점,태클 횟수,태클 성공률,슛 블록 횟수,인터셉트 횟수,걷어내기 횟수,해딩 걷어내기 횟수,라인 밖으로 걷어내기 횟수,볼 소유권 가져오기 횟수,경합 승리,경합 실패,공중볼 경합 승리,공중볼 경합 패배,자책골,실점으로 이어진 실책,어시스트,패스 횟수,경기당 평균 패스 횟수,결정적 기회 창출 횟수,크로스 횟수,크로스 성공률,스루패스 횟수,긴 패스 성공률,경고,퇴장,반칙,옵사이드,골,해딩 골,오른발 골,왼발 골,골포스트,경기당 골,페널티킥 골,프리킥 골,슈팅 횟수,유효 수팅,슈팅 성공률,결정적 찬스 놓친 횟수,선방,페널티킥 선방,펀칭,공중볼 처리,캐칭,던지기 횟수,골킥
0,Max Aarons ,수비수,36,5,71,48,63%,6,37,73,28,2,178,167,175,22,50,0,0,1,"1,339",37.19,7,73,22%,0,38,7,0,29,3,0,0,0,0,0,,,,,,,,,,,,,,
1,Abdul Rahman Baba ,수비수,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
2,Tammy Abraham ,공격수,34,,,8,,14,6,27,23,,,,,,,,,3,407,11.97,3,11,,,,2,0,17,23,15,3,12,0,3,0.44,0,0,88,40,45%,22,,,,,,,
3,Che Adams ,공격수,30,,,6,,14,2,9,3,,,,,,,,,2,248,8.27,5,13,,,,0,0,17,10,4,0,4,0,1,0.13,0,0,36,10,28%,8,,,,,,,
4,Dennis Adeniran ,미드필더,0,,,0,0%,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,,,,,,,
5,Albert Adomah ,미드필더,0,,,0,0%,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,,,,,,,
6,Adri찼n ,골키퍼,11,2,10,,,,,,,,,,,,,0,2,0,260,23.64,,,,,50,1,0,0,,0,,,,,,,,,,,,18,0,4,5,1,51,70
7,Adrien Silva ,미드필더,0,,,0,0%,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,,,,,,,
8,Daniel Adshead ,미드필더,0,,,0,0%,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,,,,,,,
9,Benik Afobe ,공격수,0,,,0,,0,0,0,0,,,,,,,,,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,,,,,,,
